record_id	input_name	requested_taxon_id	matched_name	name_class	taxon_id	parent_taxon_id	rank	unique_name	status	snapshot	source_url	retrieved_at	names_sha256	nodes_sha256	resolver_version
XP_020828279.1	Phascolarctos cinereus	38626	Phascolarctos cinereus	scientific name	38626	38625	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_074079897.1	Macrotis lagotis	92651	Macrotis lagotis	scientific name	92651	92650	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
NP_989500.1	Gallus gallus	9031	Gallus gallus	scientific name	9031	9030	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_072775070.1	Taeniopygia guttata	59729	Taeniopygia guttata	scientific name	59729	59728	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_068775093.1	Struthio camelus	8801	Struthio camelus	scientific name	8801	8800	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_025969353.2	Dromaius novaehollandiae	8790	Dromaius novaehollandiae	scientific name	8790	8789	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_027301205.3	Anas platyrhynchos	8839	Anas platyrhynchos	scientific name	8839	8835	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_021136715.2	Columba livia	8932	Columba livia	scientific name	8932	8931	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_029879002.1	Aquila chrysaetos chrysaetos	223781	Aquila chrysaetos chrysaetos	scientific name	223781	8962	subspecies		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_019328559.1	Aptenodytes forsteri	9233	Aptenodytes forsteri	scientific name	9233	9232	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_030901062.1	Melopsittacus undulatus	13146	Melopsittacus undulatus	scientific name	13146	13145	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_019406054.1	Crocodylus porosus	8502	Crocodylus porosus	scientific name	8502	8500	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_014464710.1	Alligator mississippiensis	8496	Alligator mississippiensis	scientific name	8496	8495	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_019360910.1	Gavialis gangeticus	94835	Gavialis gangeticus	scientific name	94835	94834	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_023967135.2	Chrysemys picta bellii	8478	Chrysemys picta bellii	scientific name	8478	8479	subspecies		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_006125762.2	Pelodiscus sinensis	13735	Pelodiscus sinensis	scientific name	13735	204969	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_027690803.2	Chelonia mydas	8469	Chelonia mydas	scientific name	8469	8468	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_008111382.1	Anolis carolinensis	28377	Anolis carolinensis	scientific name	28377	28376	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_026576759.1	Pseudonaja textilis	8673	Pseudonaja textilis	scientific name	8673	8672	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_020651752.3	Pogona vitticeps	103695	Pogona vitticeps	scientific name	103695	52201	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_034272113.1	Pantherophis guttatus	94885	Pantherophis guttatus	scientific name	94885	201800	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_044274665.1	Varanus komodoensis	61221	Varanus komodoensis	scientific name	61221	8556	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
NP_001107963.1	Xenopus tropicalis	8364	Xenopus tropicalis	scientific name	8364	8363	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_053555561.1	Bombina bombina	8345	Bombina bombina	scientific name	8345	8344	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_069490300.1	Ambystoma mexicanum	8296	Ambystoma mexicanum	scientific name	8296	8295	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_069093862.1	Pleurodeles waltl	8319	Pleurodeles waltl	scientific name	8319	8317	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_029429046.1	Rhinatrema bivittatum	194408	Rhinatrema bivittatum	scientific name	194408	194407	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
